date,race,class,distance,surface,colour,horse_no,Last 5 Runs,horse_name,EA,gear,jockey,,Trainer,barrier,rating,Wt,Desc,Sire,Dam,Owner,Rating + / -,c_wt
15/09/2019,1,C5,1200,P,,1,60755,DECRETO,,BP,I SAIFUDIN,,KY YOUNG,9,48,60,6yo CH NZ G SH,RED GIANT (USA),WANDANE (AUS),TITANIUM RACING STABLE,-2,60
15/09/2019,1,C5,1200,P,,2,*3*9*,ELITE SAINT,,SR,D MOOR,,J TAN,5,48,60,4yo B/BR USA G NH,MORE THAN READY (USA),ST FRANCIS WOOD (USA),ELITE PERFORMANCE STABLE,-2,60
15/09/2019,1,C5,1200,P,,3,9,EVIL ROADSTER,,"TT, SR",K A'ISISUHAIRI,,D KOK,3,48,60,5yo B AUS G SH,CANFORD CLIFFS (IRE),FLYING DIALOGUE (USA),CLOUD NINE STABLE,-1,60
15/09/2019,1,C5,1200,P,,5,69271,TURF BEAUTY,,SR,M LERNER,,J TAN,1,48,60,6yo B AUS M SH,DALIAPOUR (IRE),HANNA ROSSA (AUS),CHAN YOKE HUAT RAYMOND,6,60
15/09/2019,1,C5,1200,P,,6,5*809,GRATUS,,"B, TT",APP WH KOK,2,KY YOUNG,4,46,59,5yo BR NZ G SH,RIP VAN WINKLE (IRE),MOIRAI (AUS),YOUNG & ROSS MACKAY STABLE,-2,57
15/09/2019,1,C5,1200,P,,7,64425,HERO STAR,,"B, TT",R WOODWORTH,,D MEAGHER,7,46,59,6yo B AUS G SH,MAGIC ALBERT (AUS),BELLA CASSANI (AUS),HO LI WEN,-1,59
15/09/2019,1,C5,1200,P,,8,869,KADIMA,,"BB, TT",APP J SEE,2,J LIM,2,46,59,4yo CH USA G NH,DATA LINK (USA),SIMSATIONAL (USA),KADIMA NO 2 STABLE,-,57
15/09/2019,1,C5,1200,P,,9,2727,GOLDEN THUNDER,,"B, TT",TH KOH,1,CT KUAH,6,44,58,5yo B IRE G NH,LILBOURNE LAD (IRE),PIACENZA (IRE),MY MAN STABLE,-2,57
15/09/2019,1,C5,1200,P,,10,19*05,DOMINIC,,"B, TT",V DURIC,,J SAIMEE,10,43,57.5,5yo B NZ G SH,ROCK 'N' POP (AUS),HIGHFLYING (NZ),SAIMEE BIN JUMAAT,-1,57.5
15/09/2019,1,C5,1200,P,,11,69044,PRINCE PEGASUS,,"BP, TT",JP VAN DER MERWE,,M WALKER,8,43,57.5,6yo B AUS G SH,BENETEAU (AUS),SASSY PEG (AUS),FAIRDEAL STABLE,-1,57.5
15/09/2019,2,M,1600,P,,1,79249,GLAMOROUS,,"EM, SR",M EWE,,D KOK,7,48,58,5yo GR NZ G SH,GUILLOTINE (NZ),MANGO TREE (AUS),EVERLASTING STABLE,-,58
15/09/2019,2,M,1600,P,,2,75803,MAJESTIC,,"B, TT",R WOODWORTH,,D KOK,2,46,57,4yo CH USA G NH,MIZZEN MAST (USA),SUNSET RIDE (USA),MAJESTIC STABLE,-,57
15/09/2019,2,M,1600,P,,3,8074,CHER,,"B, TT",APP WH KOK,2,D LOGAN,6,44,56,4yo B/BR NZ M SH,SHOWCASING (GB),LITTLE RILEY (NZ),OSCAR RACING STABLE,-,54
15/09/2019,2,M,1600,P,,4,*6902,MONTOYA,,,M RODD,,S GRAY,5,44,56,4yo B AUS G SH,HIGH CHAPARRAL (IRE),AH HA (NZ),STEPHEN GRAY RACING STABLE,3,56
15/09/2019,2,M,1600,P,,5,*7*76,MR ROCKWELL,,VIS,APP A SYAHIR,3,DL FREEDMAN,4,41,54.5,4yo B AUS G SH,FASTNET ROCK (AUS),PRETTY PROUD (USA),OSCAR RACING STABLE,-,51.5
15/09/2019,2,M,1600,P,,6,*0009,DARK KNIGHT,,B,M ZAKI,,J TAN,9,38,53,4yo BR NZ G SH,PER INCANTO (USA),BARRELFIFTYONE (NZ),TANJUNG BROTHERS STABLE,-4,53
15/09/2019,2,M,1600,P,,7,*0960,EASTERN VICTORY,,TT,APP M NIZAR,4,D KOH,1,34,51,7yo B AUS G SH,NOT A SINGLE DOUBT (AUS),CANADIAN LEGACY (GB),KOH CHOR YUNG DESMOND,-3,50
15/09/2019,2,M,1600,P,,8,4332*,SHANGANI,,WK,JP VAN DER MERWE,,J PETERS,10,33,50.5,4yo CH NZ G SH,POSTPONED (USA),CLAUDY EIRE (AUS),HOLLY FARM RACING STABLE,-,50.5
