date,race,class,distance,surface,condition,horse_number,horse_name,gear,horse_rating,horse_weight,hcp_weight,c_wt,bar,jockey,trainer,running_position,pl,time,lbw,,,,,,l100m_time_2,l100m_distance_2,off_rail_2,l100m_km_hr_2,,time_2,peak_km_hr_2,avg_km_hr_2,distance_traveled_2,margin_2,finish_3,no_3,horse_name_3,win_div_3,rating_3,c_weight_3,jockey_3,trainer_3,draw_3,running_pos_3,finish_time_3,lbw_3,h_weight_3
01/06/2018,1,C5,1200,T,GOOD,12,ROCKET FIGHTER,"WK, TT",33,551,52,52,7,O PLACAIS,L DRAGON,3-2-2001,1,1:10.92,0,,,ROCKET FIGHTER,,,5.94,100,1.4,60.6,,1:10.92,67.1,61.7,1218,-,1,12,ROCKET FIGHTER,$37,33,52,O PLACAIS,MS L DRAGON,7,3-2-2001,1:10.92,--,551kg
01/06/2018,1,C5,1200,T,GOOD,2,DOMINY,"B, TT",43,490,57,57,3,G BOSS,J O'HARA,1-1-2002,2,1:11.20,1.8,,,DOMINY,,,6.23,101,0.5,58.3,,1:11.20,67.7,61.3,1216,1 3/4,2,2,DOMINY,$19,43,57,G BOSS,J O'HARA,3,1-1-2002,1:11.20,1.75L,490kg
01/06/2018,1,C5,1200,T,GOOD,4,GREATBALLS OF FIRE,B,42,515,56.5,56.5,6,M RODD,S BURRIDGE,6-4-2003,3,1:11.42,3.1,,,GREATBALLS OF FIRE,,,6.06,101,2.5,60,,1:11.42,66,61.4,1220,1 1/4,3,4,GREATBALLS OF FIRE,$11,42,56.5,M RODD,S BURRIDGE,6,6-4-2003,1:11.42,3L,515kg
01/06/2018,1,C5,1200,T,GOOD,3,EDEN GARDEN,BP,42,474,56.5,52.5,8,APP N NURSHAHRIL,CT KUAH,8-5-2004,4,1:11.54,3.9,,,EDEN GARDEN,,,6.03,101,5.8,60.3,,1:11.54,67,61.4,1223,3/4,4,3,EDEN GARDEN,$138,42,52.5,N NURSHAHRIL,CT KUAH,8,8-5-2004,1:11.54,3.75L,474kg
01/06/2018,1,C5,1200,T,GOOD,6,GOOD WARRIOR,WK,41,488,56,56,4,N JUGLALL,L KHOO,2-3-2005,5,1:11.64,4.4,,,GOOD WARRIOR,,,6.03,100,0.9,59.7,,1:11.64,66.3,60.9,1214,1/2,5,6,GOOD WARRIOR,$147,41,56,N JUGLALL,L KHOO,4,2-3-2005,1:11.64,4.25L,488kg
01/06/2018,1,C5,1200,T,GOOD,7,DICAPRIO,"TT, SR",40,438,55.5,53.5,1,APP S SHAFRIZAL,KY YOUNG,7-7-2006,6,1:12.01,6.7,,,DICAPRIO,,,6.17,100,5,58.3,,1:12.01,66,60.4,1212,2 1/4,6,7,DICAPRIO,$75,40,53.5,S SHAFRIZAL,KY YOUNG,1,7-7-2006,1:12.01,6.5L,438kg
01/06/2018,1,C5,1200,T,GOOD,5,LET'S TALK NOW,B,42,520,56.5,55,9,APP S NOH,M YUSOF,10-11-2007,7,1:12.04,6.9,,,LET'S TALK NOW,,,5.97,101,7.9,60.9,,1:12.04,66,60.9,1221,head,7,5,LET'S TALK NOW,$218,42,55,S NOH,M YUSOF,9,10-11-2007,1:12.04,6.7L,520kg
01/06/2018,1,C5,1200,T,GOOD,9,HEE'S FORTE,TT,38,479,54.5,54.5,10,A COLLETT,J SAIMEE,11-10-2008,8,1:12.07,7.1,,,HEE'S FORTE,,,6.17,100,3,58.3,,1:12.07,66.4,60.6,1215,head,8,9,HEE'S FORTE,$127,38,54.5,MS A COLLETT,J SAIMEE,10,11-10-2008,1:12.07,6.9L,479kg
01/06/2018,1,C5,1200,T,GOOD,1,DAYUAN,"B, SR",43,518,57,57,2,I SAIFUDIN,KY YOUNG,9-9-2009,9,1:12.14,7.6,,,DAYUAN,,,6.03,101,0.5,60.3,,1:12.14,65,60.5,1215,1/2,9,1,DAYUAN,$42,43,57,I SAIFUDIN,KY YOUNG,2,9-9-2009,1:12.14,7.4L,518kg
01/06/2018,1,C5,1200,T,GOOD,8,TOP BANANA,B,40,469,55.5,51.5,5,APP K NUH,H TAKAOKA,5-6-2010,10,1:12.18,7.8,,,TOP BANANA,,,6.14,100,6.2,58.6,,1:12.18,65.3,60.7,1219,head,10,8,TOP BANANA,$464,40,51.5,K NUH,H TAKAOKA,5,5-6-2010,1:12.18,7.6L,469kg
